url,review_id,author_id,author,position,company_size,stars,date,title,text,tags,review_url,product_url,product_name,page,vendor_name,pages,sort_filter
"https://www.g2.com/products/zapier/reviews",7292724,3838102,"Kevin O.","Artist","Small-Business (50 or fewer emp.)",5,"2023-05-01","My Open-minded Virtual Assistant","[""Question: What do you like best about Zapier? - Answer: It is able to be used for free while still having phenomenal help. Zapier not only has a host of \""do this, then that\"" automated procedures but I can also write my own! I do e-commerce and need to spend most of my time designing for my printed products and this program does all the promoting or at least 90% of it for me!"",""Question: What do you dislike about Zapier? - Answer: A handful of the automated tasks are not maintained because they are created by the users, not the business, Zapier. That means they may not work or could vanish without warning."",""Question: What problems is Zapier solving and how is that benefiting you? - Answer: Because I do e-commerce selling clothing, accessories, and various other print-on-demand products, I have to spend most of my time designing, tweaking, or initially writing text, and keywords, making trend changes, and much, much more, I do not have time to take individual products and push them from, say, Amazon to Facebook, then Facebook to Instagram, and so on. This program saves me the valuable time I need. I am always looking for ways to save time. Not shortcuts, but time. Largely it is fashion or the fashion industry I am in and that is massive...so is the time involved.""]","[""Validated Reviewer"",""Verified Current User"",""Review source: G2 invite"",""Incentivized Review""]","https://www.g2.com/products/zapier/reviews/zapier-review-7292724","https://www.g2.com/products/zapier/reviews","Zapier",25,"Zapier",1,"most_recent"
"https://www.g2.com/products/zapier/reviews",5212957,688257,"Katelyn J.","Operations Manager","Small-Business (50 or fewer emp.)",4,"2021-12-17","Complicated but Useful","[""Question: What do you like best about Zapier? - Answer: Holy Connections, Batman! Zapier connects everything we use, making all of our software even more powerful. We've found that Zapier is more straightforward and malleable than adding Salesforce Apps directly from the app store. It also costs less than adding apps one by one through Slack. The number of connections are endless."",""Question: What do you dislike about Zapier? - Answer: It can get complicated! I still struggle with some Zaps not working how I need them to work. For example, we have trouble with our IPN for PayPal, and I still can't get the Zap exactly right. Each Zap is a time investment up front. It also takes some maintenance; our Zaps will occasionally shut off or no loner meet our needs. It requires a good amount of brainpower to make them work correctly, but it's always been worth it in the long run."",""Question: What problems is Zapier solving and how is that benefiting you? - Answer: We use Zapier to solve two main categories of problems: (1) automatic reminders/check-ins, and (2) automatic data entry. For reminders and check-ins, we use Zapier to automate our team accountability. When a Zapier \""robot\"" asks for a quick status update on Slack, it saves managers a task and feels more neutral to the team. We use Zapier to call people together for Scrums without nagging. Also, Zapier saves us a lot of time in data entry! Syncing Salesforce, MailChimp, Eventbrite, and PayPal helps us transfer information back and forth without having to manually enter transactions.""]","[""Validated Reviewer"",""Verified Current User"",""Review source: Organic""]","https://www.g2.com/products/zapier/reviews/zapier-review-5212957","https://www.g2.com/products/zapier/reviews","Zapier",50,"Zapier",1,"most_recent"
"https://www.g2.com/products/zapier/reviews",5211245,2069290,"","","Mid-Market (51-1000 emp.)",5,"2021-12-17","Amazing Tool","[""Question: What do you like best about Zapier? - Answer: You can connect anything, it makes life so much easier"",""Question: What do you dislike about Zapier? - Answer: Some of the apps need to be premium, and once you setup your Zap then you realize that you need premium version then its like waste of your setup time e.g. Calendly"",""Question: What problems is Zapier solving and how is that benefiting you? - Answer: we connect a lot of applications from Zapier so our data can flow  and the different teams can use get the required information in their respective tools""]","[""Validated Reviewer"",""Review source: G2 invite"",""Incentivized Review""]","https://www.g2.com/products/zapier/reviews/zapier-review-5211245","https://www.g2.com/products/zapier/reviews","Zapier",50,"Zapier",1,"most_recent"
"https://www.g2.com/products/zapier/reviews",5206665,2204193,"","","Small-Business (50 or fewer emp.)",4.5,"2021-12-15","Great for removing manual processes and repetitive tasks","[""Question: What do you like best about Zapier? - Answer: Zapier has been easy to learn and connects with so many applications and websites."",""Question: What do you dislike about Zapier? - Answer: Building out more complicated tasks can require some trial and error before learning how to workaround barriers in a larger process."",""Question: What problems is Zapier solving and how is that benefiting you? - Answer: WE have removed many manual things that have to be done every day, and instead have automated them. Both as a company and in personal day to day work.""]","[""Validated Reviewer"",""Verified Current User"",""Review source: G2 invite"",""Incentivized Review""]","https://www.g2.com/products/zapier/reviews/zapier-review-5206665","https://www.g2.com/products/zapier/reviews","Zapier",50,"Zapier",1,"most_recent"
"https://www.g2.com/products/zapier/reviews",4749818,1834690,"Tristan H.","Painting Contractor","Small-Business (50 or fewer emp.)",5,"2021-05-19","Amazing Automation","[""Question: What do you like best about Zapier? - Answer: Zapier is the gold standard for automation and offers the most diverse library of apps that can connect to each other."",""Question: What do you dislike about Zapier? - Answer: It's somewhat challenging to use if you're inexperienced with coding and programming. Thankfully there are plenty of Zapier experts out there that can assist with implementing Zapier into your company."",""Question: What problems is Zapier solving and how is that benefiting you? - Answer: I am saving time and resources by eliminating redundant data entry and creating a fast and efficient workflow.""]","[""Validated Reviewer"",""Verified Current User"",""Review source: G2 invite"",""Incentivized Review""]","https://www.g2.com/products/zapier/reviews/zapier-review-4749818","https://www.g2.com/products/zapier/reviews","Zapier",62,"Zapier",1,"most_recent"
"https://www.g2.com/products/zapier/reviews",4301978,1189683,"Mohamed J.","Senior Marketing Manager Tunisia & Morocco","Mid-Market (51-1000 emp.)",4.5,"2021-05-17","The best tool to automate your processes","[""Question: What do you like best about Zapier? - Answer: Zapier gives you the opportunity to connect your business applications and create automated actions without any coding knowledge.  It is very easy to use tool to integrate that doesn't really require technical expertise to implement it."",""Question: What do you dislike about Zapier? - Answer: There is nothing that I dislike about the tool so far !"",""Question: Recommendations to others considering Zapier: - Answer: I highly recommend this tool to all marketers that are managing different apps, because zapier give them the possibity to connect all the apps without any coding knowledge."",""Question: What problems is Zapier solving and how is that benefiting you? - Answer: Saving a lot of time by automating process and connecting businnes apps ! For instance : Connecting salesforce with facebook forms and linkedin forms , that allows us to get directly all our leads in the CRM which save a lot of time to the sales team !""]","[""Validated Reviewer"",""Verified Current User"",""Review source: G2 invite"",""Incentivized Review""]","https://www.g2.com/products/zapier/reviews/zapier-review-4301978","https://www.g2.com/products/zapier/reviews","Zapier",62,"Zapier",1,"most_recent"
"https://www.g2.com/products/zapier/reviews",4727331,1806685,"","","Small-Business (50 or fewer emp.)",5,"2021-05-07","Amazing Product","[""Question: What do you like best about Zapier? - Answer: Zapier gives me the ability to connect products that do not directly integrate"",""Question: What do you dislike about Zapier? - Answer: It was a little challenging to figure out at first without help"",""Question: What problems is Zapier solving and how is that benefiting you? - Answer: Automating workflows that we used to manually configure""]","[""Validated Reviewer"",""Verified Current User"",""Review source: Organic""]","https://www.g2.com/products/zapier/reviews/zapier-review-4727331","https://www.g2.com/products/zapier/reviews","Zapier",62,"Zapier",1,"most_recent"
"https://www.g2.com/products/zapier/reviews",4714866,1289365,"Ehecatl R.","Chat marketing Expert","Small-Business (50 or fewer emp.)",4,"2021-04-30","Great app for integrations","[""Question: What do you like best about Zapier? - Answer: That I can connect a lot of tools between each others"",""Question: What do you dislike about Zapier? - Answer: It's expensive when it has a lot of connections"",""Question: What problems is Zapier solving and how is that benefiting you? - Answer: connect highlevel to Facebook""]","[""Validated Reviewer"",""Verified Current User"",""Review source: G2 invite"",""Incentivized Review""]","https://www.g2.com/products/zapier/reviews/zapier-review-4714866","https://www.g2.com/products/zapier/reviews","Zapier",62,"Zapier",1,"most_recent"
"https://www.g2.com/products/zapier/reviews",5352902,2307890,"","","Mid-Market (51-1000 emp.)",4,"2022-02-16","integration of Zapier with waitwhile","[""Question: What do you like best about Zapier? - Answer: the integration of it to Wait while with Zapier"",""Question: What do you dislike about Zapier? - Answer: It was not clear on the flowchart. Some parts are missing."",""Question: What problems is Zapier solving and how is that benefiting you? - Answer: zoom meetings""]","[""Validated Reviewer"",""Review source: G2 invite"",""Incentivized Review""]","https://www.g2.com/products/zapier/reviews/zapier-review-5352902","https://www.g2.com/products/zapier/reviews","Zapier",45,"Zapier",1,"most_recent"
"https://www.g2.com/products/zapier/reviews",6766145,3582802,"Ilan P.","Chief Executive Officer","",5,"2022-06-22","A must have service to have at your disposal","[""Question: What do you like best about Zapier? - Answer: Ease of use and functionality, the many integrations and automation capabilities that are made available."",""Question: What do you dislike about Zapier? - Answer: Nothing - It's an excellent service. Zero complaints."",""Question: What problems is Zapier solving and how is that benefiting you? - Answer: Automating tasks both internal and external to my organization and clients.""]","[""Validated Reviewer"",""Review source: Organic""]","https://www.g2.com/products/zapier/reviews/zapier-review-6766145","https://www.g2.com/products/zapier/reviews","Zapier",41,"Zapier",1,"most_recent"
